id;tracked_at;latitude;longitude;geom;accuracy;new_track;created_at;trip_id;user_id;altitude;speed
3222876798;2019-09-27 06:52:58.122999+00;40.42493689640707;-3.6827651097056395;0101000020E6100000DB48C88D4D760DC04F770C5564364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876799;2019-09-27 06:53:04.588+00;40.42492888525927;-3.6827880923092358;0101000020E6100000FB87749A59760DC03BA8D81164364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876800;2019-09-27 06:53:17.746+00;40.42491969326402;-3.6827558830881064;0101000020E6100000C11E68B748760DC067FFBCC463364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876801;2019-09-27 06:53:24.285+00;40.42494669355551;-3.6827720707799636;0101000020E610000025FA143451760DC0A0AE3BA764364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876802;2019-09-27 06:53:30.730999+00;40.424965269198246;-3.6827798585762026;0101000020E61000004D9E574955760DC037920E4365364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876803;2019-09-27 06:53:37.263+00;40.42494114593054;-3.6827445216972934;0101000020E61000004DB481C242760DC08B3FB27864364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876804;2019-09-27 06:53:43.802+00;40.4249260325485;-3.68276512864376;0101000020E610000053FE52904D760DC0E681EAF963364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876805;2019-09-27 06:53:51.184999+00;40.42497998739791;-3.6827969191284633;0101000020E6100000FFBA2B3B5E760DC00DAA85BE65364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876806;2019-09-27 06:53:57.726+00;40.42494318106805;-3.6827966579506963;0101000020E610000010BB1D185E760DC039ACC48964364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876807;2019-09-27 06:54:04.256+00;40.42497593125304;-3.6827918072679617;0101000020E6100000828A118D5B760DC0D3287F9C65364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876808;2019-09-27 06:54:10.740999+00;40.4249786703524;-3.6828140115049885;0101000020E6100000E250453167760DC0A05479B365364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876809;2019-09-27 06:54:17.201999+00;40.42498648197355;-3.682833424124894;0101000020E610000060DBC95E71760DC0C4A800F565364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876810;2019-09-27 06:54:23.657999+00;40.42499946452414;-3.682828591712139;0101000020E6100000436B31D66E760DC06F79E86166364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876811;2019-09-27 06:54:30.102999+00;40.42496718243339;-3.682843997597067;0101000020E61000002D98EFE976760DC05C361B5365364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876812;2019-09-27 06:54:36.532999+00;40.42494084935845;-3.6828189097098885;0101000020E6100000D35AB2C269760DC0505D357664364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876813;2019-09-27 06:54:43.052+00;40.42496326491593;-3.682806948801629;0101000020E610000025AD547D63760DC05C683E3265364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876814;2019-09-27 06:54:54.019+00;40.42505734513225;-3.6829092316175065;0101000020E61000002D787F1D99760DC04122724768364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876815;2019-09-27 06:55:01.368+00;40.42501539463604;-3.682838959683586;0101000020E61000009034C24574760DC011218AE766364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876816;2019-09-27 06:55:07.894+00;40.42499154448814;-3.682826886463654;0101000020E6100000F68651F16D760DC09853781F66364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876817;2019-09-27 06:55:14.42+00;40.424990677675396;-3.682826698917412;0101000020E6100000C57C25D86D760DC040DC321866364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876818;2019-09-27 06:55:21.030999+00;40.425006689777064;-3.6828079717486424;0101000020E61000003BDEA00664760DC03C96849E66364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876819;2019-09-27 06:55:27.558+00;40.42501061527633;-3.682797753142914;0101000020E6100000B03F1CAB5E760DC0478872BF66364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876820;2019-09-27 06:55:34.168999+00;40.42500975695011;-3.6828032829699615;0101000020E6100000CBA84F9161760DC0734A3FB866364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876821;2019-09-27 06:55:40.661999+00;40.424968140234284;-3.6827762960637944;0101000020E6100000C49F306B53760DC0F812245B65364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876822;2019-09-27 06:55:47.101999+00;40.42495279083868;-3.682786473556183;0101000020E61000008C9930C158760DC07F7F61DA64364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876823;2019-09-27 06:55:53.65+00;40.42490140726516;-3.6828049127460845;0101000020E61000002D570E6C62760DC0371D582B63364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876824;2019-09-27 06:56:08.918999+00;40.42492725293765;-3.6827732133566298;0101000020E6100000C99C6FCD51760DC0EE45270464364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876825;2019-09-27 06:56:15.457+00;40.4249407120531;-3.682723967998102;0101000020E610000043FAD5FB37760DC0E6800E7564364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876826;2019-09-27 06:56:21.907+00;40.424931706621045;-3.6827605186631875;0101000020E6100000614495254B760DC0457C832964364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876827;2019-09-27 06:56:28.398999+00;40.42498837431887;-3.6827213112442445;0101000020E6100000329C409736760DC09C70E00466364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876828;2019-09-27 06:56:34.943+00;40.42496409221938;-3.682761894533254;0101000020E610000078CD3FDE4B760DC03E072F3965364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876829;2019-09-27 06:56:41.4+00;40.424933364631485;-3.6827981714438787;0101000020E6100000E2F540E35E760DC026096C3764364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876830;2019-09-27 06:56:47.94+00;40.42491693304376;-3.6828252245395583;0101000020E6100000054042126D760DC0447895AD63364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876831;2019-09-27 06:56:57.361999+00;40.424823072067056;-3.6828838391128067;0101000020E6100000C5A65FCD8B760DC0A08E389A60364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876832;2019-09-27 06:57:03.884999+00;40.42491737701755;-3.6828142676584976;0101000020E6100000FAAEA65367760DC070E54EB163364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876833;2019-09-27 06:57:10.325+00;40.42489237166511;-3.6828857282048126;0101000020E6100000C85BECCA8C760DC08E4F8CDF62364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876834;2019-09-27 06:57:16.790999+00;40.42492692587705;-3.68280127087864;0101000020E61000005CBA408360760DC077EA680164364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876835;2019-09-27 06:57:23.332+00;40.42493403251698;-3.682787434548871;0101000020E6100000A00E2C4259760DC0154F063D64364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876836;2019-09-27 06:57:29.852999+00;40.42491691532482;-3.682783581471915;0101000020E61000004D57053D57760DC02D6B6FAD63364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
